"","candidate.id","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41","long"
"139",253039,2,1,6,1,1,6,1,1,6,2,1,5,2
"140",253058,1,1,5,1,1,3,1,1,2,1,1,4,2
"141",253063,1,1,6,1,1,5,1,1,5,1,3,5,2
"142",253068,1,1,5,1,1,4,1,1,1,1,1,1,6
"144",253072,2,1,5,1,1,5,1,1,2,1,5,2,2
"145",253075,2,1,6,1,1,5,1,1,5,1,4,3,2
"146",253081,2,1,4,2,2,4,3,2,4,3,3,5,2
"147",253084,1,1,4,1,1,4,1,1,1,1,1,1,6
"148",253086,1,2,4,1,1,5,1,1,4,1,1,2,2
"149",253088,2,2,5,1,1,5,1,1,5,2,2,2,3
"150",253091,1,1,4,2,1,5,1,1,1,1,1,1,6
"151",253092,1,1,6,1,1,2,2,4,4,2,1,4,2
"152",253097,2,1,5,2,1,5,1,1,4,1,1,2,2
"153",253099,1,1,5,1,1,4,2,1,1,1,1,1,5
"154",253105,1,1,6,1,1,5,1,1,1,1,1,4,5
"155",253108,2,1,6,1,2,6,1,1,1,1,1,1,6
"156",253116,1,3,5,1,1,4,2,1,4,1,1,4,2
"157",253117,2,3,5,1,1,5,2,2,4,2,3,3,2
"158",253119,1,1,6,1,1,6,1,1,1,1,1,4,5
"159",253123,5,4,5,1,1,5,2,1,5,4,1,2,2
"160",253133,4,3,5,2,3,5,3,2,4,4,3,4,2
"161",253135,1,1,5,1,1,4,2,1,3,2,1,4,2
"162",253136,1,2,4,1,1,4,1,1,5,2,1,4,2
"163",253137,1,3,4,1,1,4,1,1,2,1,1,4,2
"164",253148,1,3,2,1,1,2,1,1,1,1,1,1,6
"165",253153,3,3,4,3,4,3,3,4,4,3,4,4,2
"166",253155,1,1,4,1,1,4,1,1,1,1,1,1,6
"167",253162,2,1,4,1,2,4,1,1,1,1,4,4,4
"168",253172,1,1,6,1,1,6,1,1,6,1,1,6,2
"169",253174,2,1,5,1,1,5,1,1,5,1,1,2,2
"170",253178,1,2,4,1,1,4,1,1,1,1,1,3,5
"171",253183,1,2,6,1,1,5,1,1,1,1,1,4,5
"173",253191,2,5,2,1,1,2,1,1,1,1,1,2,5
"174",253194,1,1,6,1,1,4,3,1,1,1,4,3,3
"175",253199,3,1,5,1,1,5,2,4,5,2,2,5,2
"176",253201,5,2,6,1,1,6,2,1,6,1,1,6,2
"177",253207,1,2,6,1,1,6,1,1,5,3,1,6,2
"178",253210,1,1,5,1,1,4,1,1,1,1,1,1,6
"179",253215,5,2,5,2,1,5,2,4,6,5,3,6,1
"180",253221,4,1,5,2,1,1,4,2,2,1,4,4,2
"181",253223,3,5,5,1,1,4,4,2,5,4,2,5,2
"182",253229,4,1,6,5,5,6,4,1,6,6,1,3,2
"183",253231,1,5,5,1,1,6,1,1,5,1,1,4,2
"184",253236,2,4,4,2,3,2,2,4,3,2,2,3,2
"185",253237,1,2,4,1,1,3,1,1,3,1,1,2,2
"186",253242,1,3,6,1,2,6,2,1,5,1,5,5,2
"187",253246,1,2,2,1,1,2,2,1,1,2,1,2,2
"188",253247,1,1,5,1,1,4,1,1,1,1,4,1,4
"189",253250,3,2,3,2,1,4,2,3,4,2,1,2,1
"190",253252,1,3,6,1,1,4,1,1,2,1,1,4,2
"191",253257,1,4,5,1,2,1,1,1,1,1,1,1,7
"192",253260,1,1,5,1,1,4,1,1,2,1,1,1,3
"193",253264,1,2,4,1,1,2,1,1,1,1,1,1,6
"194",253265,3,1,5,1,1,5,1,1,1,1,1,4,5
"195",253268,1,3,6,1,1,1,6,1,1,1,1,1,5
"196",253272,3,2,4,2,2,4,2,2,2,2,2,2,6
"197",253275,2,1,5,1,1,6,1,1,5,1,1,1,3
"198",253279,1,2,5,1,1,5,4,1,5,1,2,4,2
"199",253287,1,1,5,1,1,5,1,1,5,1,4,5,2
"200",253288,1,3,4,1,1,4,2,1,2,1,1,1,3
"201",253289,3,4,4,3,3,3,3,3,3,3,2,4,7
"202",253292,2,2,5,2,3,5,4,1,3,1,1,4,2
"203",253315,4,1,6,2,1,5,1,1,1,1,1,4,5
"205",253325,1,5,6,1,1,5,1,1,5,1,1,5,2
"206",253331,4,1,6,3,3,5,4,1,6,4,3,4,2
"207",253347,1,5,2,1,1,3,1,1,1,1,1,1,6
"208",253348,1,1,4,1,1,4,2,1,1,1,1,2,4
"209",253349,1,1,6,1,1,6,5,1,5,1,1,5,2
"210",253352,4,1,5,1,1,6,1,1,5,1,2,5,2
"211",253368,1,1,1,1,1,2,1,1,1,1,1,2,5
"212",253369,1,1,6,1,2,5,1,1,5,2,1,2,2
"213",253370,4,5,5,2,2,5,4,2,5,4,2,4,2
"214",253375,1,1,4,1,1,4,1,1,2,1,2,2,2
"215",253379,2,2,5,2,1,4,3,1,1,2,2,5,2
"216",253380,4,4,5,1,1,2,1,1,1,1,1,1,6
"217",253386,1,1,3,1,1,2,1,1,1,1,1,1,6
"218",253394,4,2,4,1,1,4,1,1,3,1,1,5,2
"219",253397,3,2,6,1,1,6,1,1,1,1,4,5,4
"220",253401,2,1,5,1,1,5,1,1,5,1,1,1,3
"221",253403,4,2,6,1,1,5,2,3,5,3,3,4,2
"222",253406,4,3,4,4,4,4,3,3,3,3,3,3,6
